Data extracted on 03/02/2024 20:34:08 from [ESTAT];Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35
Dataset: ;Simplified energy balances [nrg_bal_s__custom_9630680];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;28/01/2024 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energy balance;;Gross available energy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Thousand tonnes of oil equivalent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;TIME;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
GEO (Labels);SIEC (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);Total;1489821,417;1483949,536;1444075,807;1442531,699;1434757,905;1484378,791;1534802,536;1528428,102;1538479,769;1524431,17;1538534,904;1577717,788;1580939,878;1619949,363;1643206,229;1650988,865;1667952,547;1649189,282;1644681,959;1545163,997;1606383,673;1560460,862;1538234,932;1520808,237;1468595,977;1483551,593;1500323,598;1530359,262;1519449,646;1501827,238;1379224,526;1462342,209;1395822,651
European Union - 27 countries (from 2020);Solid fossil fuels;382922,722;361880,203;336863,263;320536,148;313746,202;310986,494;310523,44;302061,944;287606,255;272775,116;279028,247;278228,148;278119,455;285424,801;283903,621;274253,822;281811,851;282736,264;261491,786;231680,084;245081,534;250502,719;248765,397;244923,871;232764,838;234081,145;224585,773;218775,373;210260,473;171825,35;140531,749;163365,542;162043,628
European Union - 27 countries (from 2020);Natural gas;249793,009;255840,624;247244,03;251696,87;249029,582;270556,005;293533,977;285729,899;294035,297;300647,011;308597,405;319655,439;321954,024;338619,511;347546,361;359711,097;359550,268;353037,393;359282,432;337691,735;362842,244;333517,253;327417,937;321384,442;283520,8;296085,335;313360,871;331041,873;324904,59;335211,448;327184,846;339376,14;294340,743
European Union - 27 countries (from 2020);Oil and petroleum products (excluding biofuel portion);581083,758;584913,886;577831,806;578825,515;579993,487;602859,846;618086,015;621714,262;638187,649;628247,139;620225,256;637942,446;636145,518;642336,908;646902,21;645822,091;647213,968;632218,323;628916,218;589568,377;585558,948;570348,989;544905,54;530309,555;525234,824;526020,79;535565,564;548444,6;541134,88;545257,431;475784,781;500454,543;514268,023
European Union - 27 countries (from 2020);Renewables and biofuels;71047,951;74104,623;75711,453;80284,283;80709,539;82824,28;86663,64;89869,7;92272,569;92556,228;96362,406;99636,281;97908,558;106411,8;112580,253;119920,172;127927,195;137982,349;148646,393;155747,668;174002,379;171347,828;189519,992;198907,464;198892,885;204911,552;208335,663;216118,245;225742,545;232513,016;239664,17;252129,687;249217,34
Belgium;Total;52829,989;55039,087;55571,609;54386,739;57226,497;58039,329;61564,821;62425,302;63959,645;63368,591;64778,796;64148,397;63607,557;66774,996;67378,243;66918,791;66882,994;66853,035;69018,706;63630,864;68284,917;63400,919;60399,894;62641,932;59002,076;59501,876;63146,87;63922,044;63992,676;64283,583;57819,323;64368,139;59927,149
Belgium;Solid fossil fuels;10567,139;10056,302;9191,492;8491,957;8979,373;8663,432;8266,489;7988,252;8065,759;7071,956;8018,059;7420,749;6413,902;6016,341;5871,174;5173,572;4952,225;4418,245;4557,985;3135,275;3787,179;3505,124;3235,666;3563,085;3476,418;3425,18;3165,661;3069,947;3080,495;3050,644;2364,79;2592,471;2737,497
Belgium;Natural gas;8168,976;8734,428;9049,643;9406,542;9672,51;10610,944;11815,706;11264,801;12474,341;13334,965;13368,514;13179,695;13378,024;14401,876;14618,572;14790,424;15110,294;15028,298;14889,005;15116,263;16802,003;14450,002;14426,288;14533,606;12684,17;13993,253;14275,172;14594,886;15064,941;15254,802;15176,506;15237,901;12965,205
Belgium;Oil and petroleum products (excluding biofuel portion);22612,696;24540,9;25259,044;24702,795;26958,673;26809,78;29026,535;29744,137;30420,697;29195,543;29517,049;29576,433;29746,532;32142,243;32363,367;32286,563;31771,397;31981,044;34113,031;30552,871;32105,484;29589,107;27762,407;28797,282;28708,708;29288,847;29580,3;30305,61;32181,833;30200,665;26046,212;28890,663;27964,905
Belgium;Renewables and biofuels;481,174;486,844;482,731;408,188;403,535;527,998;527,114;518,888;570,101;606,248;638,019;703,707;711,598;867,297;972,368;1167,351;1368,917;1599,086;1920,325;2287,268;2976,17;2993,455;3395,984;3621,002;3464,257;3740,316;3976,178;4138,967;4248,115;4386,661;4930,86;5123,182;5301,753
Bulgaria;Total;28259,759;22923,431;21018,164;22597,471;21816,669;23643,468;23361,499;21002,001;20196,912;18327,268;18700,121;19546,183;19092,15;19609,3;19082,766;20193,869;20796,798;20403,12;20157,848;17777,004;18012,376;19275,496;18458,681;17175,487;17955,616;18767,777;18371,373;19015,831;18943,773;18748,773;17798,37;19366,678;19622,719
Bulgaria;Solid fossil fuels;8744,896;7654,257;7537,991;8220,047;7615,733;7613,72;7687,124;7933,674;7406,324;6539,487;6413,747;7266,083;6580,105;7364,153;7184,733;6915,843;6980,29;7884,042;7485,047;6415,859;6938,197;8093,68;6915;5946,623;6357,28;6607,404;5698,588;6122,761;5492,404;5077,459;4160,132;5269,718;6261
Bulgaria;Natural gas;5395,744;4617,017;4066,504;3802,334;3820,142;4584,491;4676,106;3699,707;3129,121;2686,18;2931,376;2738,129;2402,327;2499,587;2492,7;2804,055;2900,624;3010,413;2914,231;2160,714;2300,37;2630,269;2451,17;2397,726;2362,603;2594,771;2686,56;2762,258;2612,142;2441,818;2515,152;2840,943;2325,298
Bulgaria;Oil and petroleum products (excluding biofuel portion);9697,724;6732,734;5874,942;6658,05;6140,792;6589,73;5865,973;4580,4;4916,154;4504,053;4247,876;4365,178;4556,809;4744,614;4510,07;5101,22;5291,332;5004,96;5000,693;4573,189;4105,015;3883,997;4072,408;3749,984;4087,105;4425,072;4417,285;4620,522;4703,479;4827,892;4397,124;4656,741;4899,368
Bulgaria;Renewables and biofuels;312,625;335,932;326,259;303,196;278,867;398,978;488,316;473,951;675,714;656,282;772,776;684,857;821,31;939,166;990,262;1111,53;1160,914;982,509;1083,936;1136,855;1485,571;1394,668;1650,951;1881,268;1860,125;2076,229;2022,557;1952,201;2541,462;2469,42;2548,995;2924,064;2748,716
Czechia;Total;49994,565;45359,222;44159,785;42730,025;41261,189;41878,18;43045,88;43412,545;42042,884;39253,946;41289,715;42363,378;42937,716;44840,301;45985,513;45534,937;46566,166;46467,841;45611,757;42842,852;45466,357;43617,728;43242,309;43445,983;42012,582;42052,053;41659,604;43462,886;43639,055;42934,615;40320,999;42746,813;41864,933
Czechia;Solid fossil fuels;31460,762;28830,422;25834,642;24581,353;22871,031;22692,382;22567,528;23159,024;21240,719;18387,181;21580,096;21137,24;20774,359;21025,249;20948,44;20239,104;20940,828;21263,165;19677,428;17608,418;18846,975;18300,811;17283,113;17276,269;15972,076;16394,61;16553,885;15837,627;15815,285;14191,778;12298,302;12907,445;13431,384
Czechia;Natural gas;5247,7;5063,607;5799,699;5927,064;5789,316;6551,612;7539,725;7668,852;7685,318;7726,612;7500,15;8032,158;7762,038;7842,197;7787,898;7703,439;7593,53;7238,65;7173,538;6804,256;8069,54;6809,157;6856,105;6946,41;6182,115;6482,76;7016,257;7200,989;6819,105;7158,19;7276,103;7796,656;6341,654
Czechia;Oil and petroleum products (excluding biofuel portion);8935,766;7395,37;7935,818;7479,029;7674,177;7978,03;8161,026;7852,473;8271,599;8227,382;7865,431;8359,126;8485,352;8739,241;9560,658;9951,393;9919,817;9989,273;10069,798;9529,492;9296,314;9054,179;8917,288;8566,012;9104,043;8905,423;8307,679;9672,407;9814,983;9867,998;8609,93;9471,014;9714,143
Czechia;Renewables and biofuels;1140,671;1144,305;1673,787;1644,338;1585,793;1431,837;1429;1562,75;1591,838;1680,503;1616,016;1743,214;1960,317;1840,025;2024,549;2100,607;2231,405;2344,385;2549,033;2881,324;3177,609;3498,223;3757,16;4130,887;4268,734;4384,856;4433,736;4540,336;4567,498;4913,482;5123,959;5497,278;5453,356
Denmark;Total;18930,86;20686,528;19922,523;20880,507;21769,261;21680,163;24179,929;22471,241;22213,315;21332,101;20791,268;21166,248;20669,993;21826,195;21096,745;20593,03;22246,762;21840,775;21139,886;19949,646;21019,868;19643,338;18680,18;18898,469;18078,038;18032,397;18417,049;18403,61;18496,478;18110,273;16582,487;17450,198;17190,047
Denmark;Solid fossil fuels;6087,648;8255,643;6847,021;7163,165;7656,916;6496,684;8913,329;6690,454;5668,908;4636,555;3986,09;4205,384;4187,526;5665,868;4362,21;3713,87;5477,002;4651,676;4005,865;4003,471;3808,941;3234,475;2467,764;3173,545;2533,67;1817,65;2004,774;1535,847;1592,478;968,926;819,714;1120,017;1075,486
Denmark;Natural gas;1817,584;2057,868;2163,801;2450,301;2737,984;3170,357;3734,63;3932,072;4272,012;4490,907;4448,956;4630,988;4627,404;4660,659;4633,758;4399,466;4536,529;4061,629;4075,946;3897,452;4422,026;3708,54;3484,462;3315,936;2804,025;2854,022;2879,115;2748,847;2674,472;2529,247;2112,236;1933,425;1439,123
Denmark;Oil and petroleum products (excluding biofuel portion);9164,312;9180,966;9147,146;9647,16;10266,839;10469,709;11142,305;10631,562;10731,475;10380,959;10093,008;9997,055;9491,314;9345,611;9196,679;9027,582;9430,812;9473,789;9173,464;8216,765;8473,677;8044,707;7581,776;7454,287;7405,865;7455,328;7492,814;7542,63;7637,649;7671,329;6408,447;6509,55;7167,726
Denmark;Renewables and biofuels;1085,789;1178,728;1248,252;1306,468;1301,991;1362,115;1441,915;1549,511;1622,199;1705,9;1875,949;2032,185;2174,12;2491,784;2746,727;2924,563;2982,055;3304,56;3309,709;3376,709;3999,089;4125,466;4292,66;4455,349;4669,423;4964,439;5173,038;5741,659;5704,71;5992,257;6200,548;7033,257;6964,077
Germany;Total;358247,137;350399,611;343727,758;341069,885;339644,976;343279,816;354638,188;352041,858;349897,152;342513,439;344632,692;354523,542;346859,462;347909,312;350455,498;348965,483;359623,625;342528,52;346715,338;324246,861;341023,672;323483,343;326147,321;333067,586;318861,268;320515,397;322845,741;324280,628;316559,599;309512,936;286209,057;297750,868;283743,351
Germany;Solid fossil fuels;128537,786;114687,384;104375,332;98096,551;95718,336;91611,423;90674,699;86895,16;84807,064;80726,514;84827,853;86504,676;84104,575;84990,043;85422,314;81841,466;86145,682;86109,091;80108,009;72071,598;79075,728;77965,871;79918,633;81561,127;79604,753;79414,733;77130,836;71308,498;69738,493;56465,035;44655,002;53915,451;55497,16
Germany;Natural gas;54980,245;57724,183;56800,172;59687,489;61188,801;67297,506;75261,565;71948,28;72728,74;71995,765;71853,16;75590,95;75570,679;75875,156;76185,391;77781,813;79295,861;76495,034;77161,91;72731,085;75904,42;69595,685;69819,018;73101,739;63374,143;65154,093;70329,903;75341,894;73552,197;75620,41;74599,95;77181,74;66763,198
Germany;Oil and petroleum products (excluding biofuel portion);128678,578;133905,193;135404,772;136802,302;136559,475;136988,39;140075,977;140613,982;141112,929;136417,089;133275,626;136043,408;130951,034;129572,805;128523,981;127076,597;127451,502;116140,822;122182,35;114639,601;115961,204;112131,706;112094,047;114384,92;112031,934;112284,158;113590,283;115461,197;110161,655;111341,751;100784,472;99165,828;101614,134
Germany;Renewables and biofuels;5313,433;5069,461;5365,778;5478,953;5777,955;5976,842;6164,546;7122,155;7684,819;7964,111;8983,305;9636,372;10782,731;13938,171;16190,594;18756,965;22887,096;26482,789;27567,43;27522,863;31267,615;32438,432;36452,88;37632,136;37454,527;39929,125;39834,021;42513,944;43509,159;45314,506;47025,919;47045,905;49207,958
Estonia;Total;10925,576;10171,476;6468,838;5536,672;6140,371;5717,52;5963,61;5776,304;5337,525;5061,034;4812,684;5072,061;4750,539;5092,703;5543,306;5613,894;5657,882;6617,436;5841,593;4654,493;6139,998;5952,983;5679,518;6294,586;5900,275;5135,77;6292,83;6234,383;6024,017;5100,247;4790,147;4909,527;5163,309
Estonia;Solid fossil fuels;217,953;209,889;124,412;59,519;32,913;35,134;36,898;28,653;25,246;36,597;40,821;55,154;19,947;8,856;13,794;11,136;22,939;57,091;60,527;44,185;23,94;29,079;24,464;27,993;33,582;13,36;8,659;12,289;16,743;14,129;-2,726;-8,983;-4,544
Estonia;Natural gas;1222,291;1227,322;717,562;355,675;510,813;582,502;642,39;624,205;592,433;575,881;662,016;710,447;595,744;680,03;774,549;799,678;808,147;803,353;770,507;525,129;562,511;503,289;545,4;554,901;435,555;390,456;428,267;420,36;430,23;400,736;369,776;418,159;347,091
Estonia;Oil and petroleum products (excluding biofuel portion);3076,148;2722,191;1388,664;1501,552;1367,738;1002,69;1058,927;1007,487;1185,794;1075,369;772,705;918,013;910,33;913,753;940,699;936,384;1026,641;1066,977;1019,662;817,979;814,946;756,859;960,037;922,371;771,008;617,646;727,446;528,142;428,411;213,627;253,018;187,97;431,448
Estonia;Renewables and biofuels;187,852;187,04;216,433;205,47;354,228;492,744;607,462;603,105;507,103;519,977;512,85;540,537;548,156;577,42;598,834;588,734;531,939;602,202;650,327;719,305;854,231;836,165;861,442;851,138;858,244;933,791;1001,066;1075,679;1156,089;1179,377;1319,63;1319,855;1320,304
Ireland;Total;10289,752;10447,125;10370,145;10638,325;11055,925;10941,318;11857,13;12706,534;13425,7;13945,907;14525,235;15310,859;15542,517;14902,729;15241,073;15573,764;15679,969;16224,165;16025,644;15289,094;15202,144;13982,893;14148,93;13444,953;13531,844;14318,122;15106,197;14983,593;15069,772;15116,154;13922,707;14453,198;14791,925
Ireland;Solid fossil fuels;2084,375;2077,025;1911,06;1881,392;1746,142;1781,597;1917,256;1800,101;1866,827;1588,647;1813,472;1878,07;1748,33;1745,656;1799,344;1882,039;1631,259;1599,47;1410,07;1145,845;1233,747;1223,961;1485,587;1307,143;1249,296;1466,073;1449,859;1146,794;788,017;387,583;447,83;915,398;727,254
Ireland;Natural gas;1872,958;1919,39;1898,517;2156,384;2193,594;2333,964;2651,182;2771,69;2802,687;2997,163;3435,942;3583,77;3678,654;3652,558;3644,924;3495,445;3958,18;4249,754;4517,902;4269,075;4701,814;4137,314;4031,367;3852,828;3732,229;3758,965;4246,671;4312,57;4487,602;4560,102;4554,664;4376,852;4459,267
Ireland;Oil and petroleum products (excluding biofuel portion);4894,056;4964,575;4909,72;5171,029;5712,101;5822,914;6167,785;6733,769;7418,184;8414,748;8342,681;8783,517;8728,947;8515,155;9001,464;8887,832;8773,727;8965,815;8468,042;8048,364;7923,08;7044,758;6613,788;6757,709;6623,193;7067,384;7495,413;7456,546;7561,939;7562,85;6386,808;6890,519;7266,375
Ireland;Renewables and biofuels;167,722;167,763;162,444;160,552;174,12;154,602;168,528;180,707;231,352;221,727;235,032;233,824;261,302;236,241;284,108;370,35;429,878;487,722;588,246;677,373;678,381;816,116;821,44;887,431;1003,961;1137,223;1135,644;1339,467;1481,712;1646,385;1800,342;1642,131;1848,07
Greece;Total;24743,756;24630,042;25540,736;25775,886;26692,717;27071,461;27312,628;28251,818;29934,914;29777,467;31500,399;32270,534;32381,265;33246,719;33797,345;33928,403;34285,36;34383,378;34508,863;32937,772;31056,521;30289,59;29510,778;26189,423;25859,138;25871,415;25374,145;26528,764;26023,087;26072,447;22075,359;23321,333;23773,938
Greece;Solid fossil fuels;8066,28;7768,76;8176,474;8165,826;8476,287;8389,097;7948,713;8541,337;8922,285;8561,81;9037,089;9307,914;8980,262;8905,808;9106,807;8952,488;8427,394;8835,988;8321,546;8425,257;7863,033;7886,86;8134,842;6981,004;6687,083;5606,374;4369,484;4816,635;4564,069;3196,088;1830,92;1710,922;1562,47
Greece;Natural gas;138,135;136,457;126,096;92,993;47,571;43,874;49,291;171;725,422;1217,978;1704,56;1683,059;1801,076;2026,241;2228,781;2353,567;2747,288;3364,183;3506,198;2971,01;3234,465;3972,26;3662,071;3236,313;2484,301;2676,951;3489,773;4203,668;4117,235;4489,252;4928,498;5448,65;4403,664
Greece;Oil and petroleum products (excluding biofuel portion);15373,553;15439,786;15980,39;16239,963;16880,672;17243,654;17784,587;17931,374;18738,812;18467,422;19236,041;19649,085;19857,613;20494,831;20548,87;20567,999;20895,406;20046,523;20438,748;19239,544;17245,728;15925,839;15038,565;13112,679;13402,775;13832,402;13994,347;14056,766;13631,947;14318,367;11194,104;11999,098;13853,581
Greece;Renewables and biofuels;1104,653;1229,665;1161,57;1177,902;1203,535;1289,047;1374,023;1368,94;1362,262;1452,503;1460,075;1377,037;1456,162;1606,458;1635,898;1704,489;1848,4;1756,656;1755,727;1922,43;2190,639;2198,665;2506,89;2676,084;2505,95;2840,412;2704,103;2915,41;3141,065;3171,732;3349,997;3838,037;3657,835
Spain;Total;92115,084;95767,914;97678,562;93559,952;98394,324;105871,379;105998,707;113571,173;119253,833;124581,277;130037,451;134011,786;137767,317;142453,173;148810,732;152386,592;152913,834;155341,887;150448,541;138972,89;138536,888;138110,706;137469,673;127965,587;126079,791;130401,3;131435,263;137139,581;137261,951;134015,644;118167,742;125248,984;128119,622
Spain;Solid fossil fuels;19289,305;20063,871;20447,779;18400,346;18967,945;19004,295;16062,409;18384,925;17501,699;19615,458;20940,393;19171,956;21601,972;20132,897;21053,139;20516,622;17911,155;20040,491;13506,628;9665,228;7281,087;12716,137;15518,743;11447,726;11568,18;13583,196;10836,007;12907,895;11521,899;5071,746;3099,844;3096,851;3592,723
Spain;Natural gas;4970,324;5599,487;5854,868;5743,088;6296,778;7722,266;8642,128;11308,099;11608,9;13289,225;15218,955;16399,827;18751,071;21352,79;25171,503;29843,799;31610,25;31783,379;34909,888;31225,2;31129,504;28935,74;28574,705;26163,379;23666,644;24543,236;25040,064;27267,51;27082,76;30932,459;27936,527;29513,583;28352,671
Spain;Oil and petroleum products (excluding biofuel portion);47610,161;49632,16;51759,596;49181,208;52651,651;58735;59454,024;62980,273;67600,416;69720,276;70447,912;73416,92;73711,352;75591,753;77507,189;78717,037;78755,706;79488,595;76895,589;72005,054;69341,413;66749,312;61880,195;58081,301;57768,009;59961,551;61703,346;63981,47;64513,363;63312,047;52046,121;57497,207;62455,169
Spain;Renewables and biofuels;6221,902;6133,355;5108,359;5593,024;5956,539;5505,175;6982,88;6645,283;6782,677;6027,924;6812,527;8153,412;6892,058;9192,567;8809,626;8392,96;9156,91;10000,718;10545,269;12564,989;15044,345;14814,235;16123,296;17716,015;18064,318;17007,858;17484,887;16590,507;18163,223;18365,551;19089,534;19825,722;19611,61
France;Total;228804,24;241559,195;237727,117;241499,43;232415,242;242062,918;255794,309;248398,115;255974,513;256068,363;258732,551;266800,225;267388,416;273948,15;278630,197;279715,492;275800,862;273383,172;274567,207;263931,347;272001,499;267251,66;267311,694;268448,63;257935,903;262118,507;257544,588;257670,609;256709,049;253565,662;224635,579;243079,843;221001,829
France;Solid fossil fuels;20039,83;21205,383;18732,489;14802,448;14732,555;15894,042;16426,922;14475,32;17075,081;15338,875;14886,345;12489,228;13413,812;14226,163;13740,936;14154,796;13054,791;13495,056;12761,059;11116,82;11962,119;11279,263;12526,685;13244,766;9845,648;9326,745;9111,639;9921,502;9132,124;7328,58;5298,894;8461,412;7462,454
France;Natural gas;26031,971;28518,117;28459,906;29106,884;27785,792;29576,875;32686,794;31338,968;33413,044;34067,833;35766,127;37547,788;37484,432;39318,1;40148,676;41025,561;39621,801;38487,15;39885,735;38461,697;42617,698;36989,711;38215,216;38816,126;32595,314;35040,211;38288,859;38491,58;36834,38;37542,603;34894,962;37008,937;33227,883
